id,title,h_a,xG,npxG,npxGA,ppda_att,ppda_def,ppda_allowed_att,ppda_allowed_def,deep,deep_allowed,scored,missed,xpts,result,date,wins,loses,draws,pts,npxGD,season
71,Aston Villa,a,2.67,2.67,2.044,260,23,224,24,8,5,2,1,1.299,w,2024-08-17 16:30:00,1,0,0,3,0.627,2024
71,Aston Villa,h,1.317,1.317,1.414,311,18,175,30,3,10,0,2,1.236,l,2024-08-24 16:30:00,0,1,0,0,-0.097,2024
71,Aston Villa,a,2.164,2.164,0.775,314,30,224,35,6,3,2,1,2.448,w,2024-08-31 14:00:00,1,0,0,3,1.389,2024
71,Aston Villa,h,3.159,3.159,0.852,121,23,294,18,9,3,3,2,2.76,w,2024-09-14 16:30:00,1,0,0,3,2.307,2024
71,Aston Villa,h,2.374,2.374,0.52,236,20,216,16,9,4,3,1,2.648,w,2024-09-21 14:00:00,1,0,0,3,1.853,2024
71,Aston Villa,a,1.145,1.145,1.846,262,22,265,16,5,6,2,2,0.825,d,2024-09-29 13:00:00,0,0,1,1,-0.701,2024
72,Everton,h,0.405,0.405,1.791,385,21,190,24,4,5,0,3,0.308,l,2024-08-17 14:00:00,0,1,0,0,-1.386,2024
72,Everton,a,0.649,0.649,2.611,369,29,126,20,5,9,0,4,0.256,l,2024-08-24 14:00:00,0,1,0,0,-1.963,2024
72,Everton,h,2.556,2.556,2.957,191,23,149,21,15,7,2,3,1.124,l,2024-08-31 14:00:00,0,1,0,0,-0.401,2024
72,Everton,a,0.852,0.852,3.159,294,18,121,23,3,9,2,3,0.157,l,2024-09-14 16:30:00,0,1,0,0,-2.307,2024
72,Everton,a,1.824,1.824,1.338,251,13,160,19,6,8,1,1,1.698,d,2024-09-21 14:00:00,0,0,1,1,0.486,2024
72,Everton,h,1.11,1.11,1.124,300,24,168,18,6,8,2,1,1.331,w,2024-09-28 14:00:00,1,0,0,3,-0.014,2024
72,Everton,h,0.692,0.692,1.029,410,26,164,28,3,11,0,0,0.49,d,2024-10-05 16:30:00,0,0,1,1,-0.337,2024
73,Bournemouth,a,1.909,1.909,1.244,219,22,225,26,4,10,1,1,1.894,d,2024-08-17 14:00:00,0,0,1,1,0.665,2024
73,Bournemouth,h,2.535,2.535,1.893,276,30,127,14,8,9,1,1,1.852,d,2024-08-25 13:00:00,0,0,1,1,0.642,2024
73,Bournemouth,a,2.957,2.957,2.556,149,21,191,23,7,15,3,2,1.66,w,2024-08-31 14:00:00,1,0,0,3,0.401,2024
73,Bournemouth,h,1.537,0.776,0.933,338,30,133,14,5,9,0,1,1.88,l,2024-09-14 19:00:00,0,1,0,0,-0.157,2024
73,Bournemouth,a,1.47,1.47,2.437,370,23,237,20,6,13,0,3,0.796,l,2024-09-21 14:00:00,0,1,0,0,-0.968,2024
73,Bournemouth,h,1.442,1.442,0.696,371,32,188,16,7,7,3,1,1.996,w,2024-09-30 19:00:00,1,0,0,3,0.746,2024
73,Bournemouth,a,1.95,1.95,0.912,221,26,201,15,7,2,0,1,2.187,l,2024-10-05 14:00:00,0,1,0,0,1.038,2024
74,Southampton,a,1.955,1.955,0.433,72,19,325,20,13,4,0,1,2.559,l,2024-08-17 14:00:00,0,1,0,0,1.521,2024
74,Southampton,h,0.215,0.215,2.865,171,21,425,23,4,9,0,1,0.07,l,2024-08-24 14:00:00,0,1,0,0,-2.65,2024
74,Southampton,a,1.647,1.647,3.863,189,23,306,21,14,15,1,3,0.29,l,2024-08-31 14:00:00,0,1,0,0,-2.216,2024
74,Southampton,h,1.356,0.545,3.027,380,35,300,29,3,17,0,3,0.344,l,2024-09-14 11:30:00,0,1,0,0,-2.482,2024
74,Southampton,h,2.898,2.898,1.645,220,25,314,34,7,5,1,1,2.263,d,2024-09-21 14:00:00,0,0,1,1,1.253,2024
74,Southampton,a,0.696,0.696,1.442,188,16,371,32,7,7,1,3,0.731,l,2024-09-30 19:00:00,0,1,0,0,-0.746,2024
74,Southampton,a,1.273,1.273,3.252,247,16,235,29,3,14,1,3,0.329,l,2024-10-05 14:00:00,0,1,0,0,-1.979,2024
75,Leicester,h,1.026,1.026,1.408,331,16,159,29,2,21,1,1,1.057,d,2024-08-19 19:00:00,0,0,1,1,-0.382,2024
75,Leicester,a,0.857,0.857,1.962,274,20,318,31,1,7,1,2,0.591,l,2024-08-24 14:00:00,0,1,0,0,-1.105,2024
75,Leicester,h,0.775,0.775,2.164,224,35,314,30,3,6,1,2,0.373,l,2024-08-31 14:00:00,0,1,0,0,-1.389,2024
75,Leicester,a,1.652,1.652,2.126,315,22,167,34,7,15,2,2,0.592,d,2024-09-14 14:00:00,0,0,1,1,-0.474,2024
75,Leicester,h,1.338,1.338,1.824,160,19,251,13,8,6,1,1,1.039,d,2024-09-21 14:00:00,0,0,1,1,-0.486,2024
75,Leicester,a,0.338,0.338,6.053,265,9,139,30,4,21,2,4,0.002,l,2024-09-28 14:00:00,0,1,0,0,-5.715,2024
75,Leicester,h,0.912,0.912,1.95,201,15,221,26,2,7,1,0,0.588,w,2024-10-05 14:00:00,1,0,0,3,-1.038,2024
78,Crystal Palace,a,1.148,1.148,1.381,224,29,228,18,4,1,1,2,1.097,l,2024-08-18 13:00:00,0,1,0,0,-0.233,2024
78,Crystal Palace,h,1.376,1.376,1.534,235,34,302,22,6,5,0,2,1.262,l,2024-08-24 14:00:00,0,1,0,0,-0.158,2024
78,Crystal Palace,a,0.46,0.46,2.977,376,19,206,18,6,4,1,1,0.079,d,2024-09-01 12:30:00,0,0,1,1,-2.518,2024
78,Crystal Palace,h,2.887,2.126,1.652,167,34,315,22,15,7,2,2,2.221,d,2024-09-14 14:00:00,0,0,1,1,0.474,2024
78,Crystal Palace,h,1.669,1.669,2.351,385,21,165,27,5,12,0,0,0.906,d,2024-09-21 16:30:00,0,0,1,1,-0.681,2024
78,Crystal Palace,a,1.124,1.124,1.11,168,18,300,24,8,6,1,2,1.355,l,2024-09-28 14:00:00,0,1,0,0,0.014,2024
78,Crystal Palace,h,0.609,0.609,2.073,383,16,150,27,3,11,0,1,0.38,l,2024-10-05 11:30:00,0,1,0,0,-1.464,2024
80,Chelsea,h,1.061,1.061,1.18,312,31,256,17,8,10,0,2,1.235,l,2024-08-18 15:30:00,0,1,0,0,-0.119,2024
80,Chelsea,a,2.029,2.029,2.418,176,25,303,21,6,8,6,2,1.088,w,2024-08-25 13:00:00,1,0,0,3,-0.389,2024
80,Chelsea,h,2.977,2.977,0.46,206,18,376,19,4,6,1,1,2.875,d,2024-09-01 12:30:00,0,0,1,1,2.518,2024
80,Chelsea,a,0.933,0.933,0.776,133,14,338,30,9,5,1,0,0.83,w,2024-09-14 19:00:00,1,0,0,3,0.157,2024
80,Chelsea,a,2.397,2.397,0.758,277,17,301,31,9,12,3,0,2.467,w,2024-09-21 11:30:00,1,0,0,3,1.639,2024
80,Chelsea,h,3.658,2.897,1.207,328,13,236,29,10,7,4,2,2.718,w,2024-09-28 14:00:00,1,0,0,3,1.69,2024
81,West Ham,h,2.805,2.044,2.67,224,24,260,23,5,8,1,2,1.469,l,2024-08-17 16:30:00,0,1,0,0,-0.627,2024
81,West Ham,a,1.534,1.534,1.376,302,22,235,34,5,6,2,0,1.47,w,2024-08-24 14:00:00,1,0,0,3,0.158,2024
81,West Ham,h,0.947,0.947,3.193,353,17,194,16,5,21,1,3,0.252,l,2024-08-31 16:30:00,0,1,0,0,-2.246,2024
81,West Ham,a,0.683,0.683,2.886,213,31,164,35,4,6,1,1,0.202,d,2024-09-14 14:00:00,0,0,1,1,-2.203,2024
81,West Ham,h,0.758,0.758,2.397,301,31,277,17,12,9,0,3,0.383,l,2024-09-21 11:30:00,0,1,0,0,-1.639,2024
81,West Ham,a,0.879,0.879,0.37,277,10,181,18,12,7,1,1,1.767,d,2024-09-28 14:00:00,0,0,1,1,0.508,2024
81,West Ham,h,4.394,4.394,1.185,244,15,337,23,6,6,4,1,2.889,w,2024-10-05 14:00:00,1,0,0,3,3.209,2024
82,Tottenham,a,1.408,1.408,1.026,159,29,331,16,21,2,1,1,1.647,d,2024-08-19 19:00:00,0,0,1,1,0.382,2024
82,Tottenham,h,2.611,2.611,0.649,126,20,369,29,9,5,4,0,2.632,w,2024-08-24 14:00:00,1,0,0,3,1.963,2024
82,Tottenham,a,1.633,1.633,1.587,125,29,184,21,9,5,1,2,1.373,l,2024-09-01 12:30:00,0,1,0,0,0.046,2024
82,Tottenham,h,0.793,0.793,1.121,147,25,231,17,10,3,0,1,1.018,l,2024-09-15 13:00:00,0,1,0,0,-0.328,2024
82,Tottenham,h,3.895,3.895,0.894,294,32,173,19,17,5,3,1,2.866,w,2024-09-21 14:00:00,1,0,0,3,3.001,2024
82,Tottenham,a,5.407,5.407,0.601,207,17,395,27,15,6,3,0,2.99,w,2024-09-29 15:30:00,1,0,0,3,4.806,2024
83,Arsenal,h,1.628,1.628,0.576,202,26,238,22,14,2,2,0,2.189,w,2024-08-17 14:00:00,1,0,0,3,1.052,2024
83,Arsenal,a,1.414,1.414,1.317,175,30,311,18,10,3,2,0,1.462,w,2024-08-24 16:30:00,1,0,0,3,0.097,2024
83,Arsenal,h,2.418,2.418,1.817,222,24,154,16,6,6,1,1,1.807,d,2024-08-31 11:30:00,0,0,1,1,0.6,2024
83,Arsenal,a,1.121,1.121,0.793,231,17,147,25,3,10,1,0,1.667,w,2024-09-15 13:00:00,1,0,0,3,0.328,2024
83,Arsenal,a,1.284,1.284,2.756,183,14,117,14,1,13,2,2,0.484,d,2024-09-22 15:30:00,0,0,1,1,-1.472,2024
83,Arsenal,h,6.053,6.053,0.338,139,30,265,9,21,4,4,2,2.997,w,2024-09-28 14:00:00,1,0,0,3,5.715,2024
83,Arsenal,h,3.252,3.252,1.273,235,29,247,16,14,3,3,1,2.545,w,2024-10-05 14:00:00,1,0,0,3,1.979,2024
86,Newcastle United,h,0.433,0.433,1.955,325,20,72,19,4,13,1,0,0.277,w,2024-08-17 14:00:00,1,0,0,3,-1.521,2024
86,Newcastle United,a,1.893,1.893,2.535,127,14,276,30,9,8,1,1,0.914,d,2024-08-25 13:00:00,0,0,1,1,-0.642,2024
86,Newcastle United,h,1.587,1.587,1.633,184,21,125,29,5,9,2,1,1.341,w,2024-09-01 12:30:00,1,0,0,3,-0.046,2024
86,Newcastle United,a,1.483,1.483,1.47,235,19,249,26,10,6,2,1,1.389,w,2024-09-15 15:30:00,1,0,0,3,0.014,2024
86,Newcastle United,a,1.098,1.098,3.211,149,13,352,27,3,7,1,3,0.293,l,2024-09-21 14:00:00,0,1,0,0,-2.114,2024
86,Newcastle United,h,1.343,0.582,1.265,254,21,164,26,7,16,1,1,1.455,d,2024-09-28 11:30:00,0,0,1,1,-0.683,2024
86,Newcastle United,a,1.79,1.029,0.692,164,28,410,26,11,3,0,0,2.263,d,2024-10-05 16:30:00,0,0,1,1,0.337,2024
87,Liverpool,a,3.929,3.929,0.343,201,23,338,18,13,2,2,0,2.956,w,2024-08-17 11:30:00,1,0,0,3,3.586,2024
87,Liverpool,h,2.719,2.719,0.457,233,23,324,10,21,2,2,0,2.757,w,2024-08-25 15:30:00,1,0,0,3,2.262,2024
87,Liverpool,a,2.104,2.104,1.501,304,26,275,22,9,6,3,0,1.785,w,2024-09-01 15:00:00,1,0,0,3,0.603,2024
87,Liverpool,h,1.17,1.17,0.59,112,30,307,18,6,4,0,1,1.891,l,2024-09-14 14:00:00,0,1,0,0,0.581,2024
87,Liverpool,h,2.437,2.437,1.47,237,20,370,23,13,6,3,0,1.997,w,2024-09-21 14:00:00,1,0,0,3,0.968,2024
87,Liverpool,a,2.117,1.356,0.749,266,18,308,22,11,2,2,1,2.481,w,2024-09-28 16:30:00,1,0,0,3,0.607,2024
87,Liverpool,a,2.073,2.073,0.609,150,27,383,16,11,3,1,0,2.455,w,2024-10-05 11:30:00,1,0,0,3,1.464,2024
88,Manchester City,a,1.18,1.18,1.061,256,17,312,31,10,8,2,0,1.44,w,2024-08-18 15:30:00,1,0,0,3,0.119,2024
88,Manchester City,h,3.078,2.317,0.48,163,20,296,17,15,1,4,1,2.881,w,2024-08-24 14:00:00,1,0,0,3,1.837,2024
88,Manchester City,a,3.193,3.193,0.947,194,16,353,17,21,5,3,1,2.64,w,2024-08-31 16:30:00,1,0,0,3,2.246,2024
88,Manchester City,h,1.553,1.553,1.051,311,19,194,8,22,6,2,1,1.716,w,2024-09-14 14:00:00,1,0,0,3,0.502,2024
88,Manchester City,h,2.756,2.756,1.284,117,14,183,14,13,1,2,2,2.338,d,2024-09-22 15:30:00,0,0,1,1,1.472,2024
88,Manchester City,a,1.265,1.265,0.582,164,26,254,21,16,7,1,1,1.251,d,2024-09-28 11:30:00,0,0,1,1,0.683,2024
88,Manchester City,h,1.367,1.367,2.758,216,15,310,14,8,11,3,2,0.545,w,2024-10-05 14:00:00,1,0,0,3,-1.392,2024
89,Manchester United,h,2.043,2.043,0.419,214,29,260,24,7,3,1,0,2.57,w,2024-08-16 19:00:00,1,0,0,3,1.624,2024
89,Manchester United,a,1.286,1.286,2.142,302,18,350,28,8,10,1,2,0.719,l,2024-08-24 11:30:00,0,1,0,0,-0.856,2024
89,Manchester United,h,1.501,1.501,2.104,275,22,304,26,6,9,0,3,0.969,l,2024-09-01 15:00:00,0,1,0,0,-0.603,2024
89,Manchester United,a,3.027,3.027,0.545,300,29,380,35,17,3,3,0,2.503,w,2024-09-14 11:30:00,1,0,0,3,2.482,2024
89,Manchester United,a,2.351,2.351,1.669,165,27,385,21,12,5,0,0,1.862,d,2024-09-21 16:30:00,0,0,1,1,0.681,2024
89,Manchester United,h,0.601,0.601,5.407,395,27,207,17,6,15,0,3,0.006,l,2024-09-29 15:30:00,0,1,0,0,-4.806,2024
220,Brighton,a,1.791,1.791,0.405,190,24,385,21,5,4,3,0,2.529,w,2024-08-17 14:00:00,1,0,0,3,1.386,2024
220,Brighton,h,2.142,2.142,1.286,350,28,302,18,10,8,2,1,2.042,w,2024-08-24 11:30:00,1,0,0,3,0.856,2024
220,Brighton,a,1.817,1.817,2.418,154,16,222,24,6,6,1,1,0.969,d,2024-08-31 11:30:00,0,0,1,1,-0.6,2024
220,Brighton,h,1.757,1.757,0.721,146,38,324,22,12,1,0,0,2.236,d,2024-09-14 14:00:00,0,0,1,1,1.036,2024
220,Brighton,h,1.568,1.568,0.608,122,23,273,12,4,3,2,2,1.476,d,2024-09-22 13:00:00,0,0,1,1,0.96,2024
220,Brighton,a,1.207,1.207,2.897,236,29,328,13,7,10,2,4,0.198,l,2024-09-28 14:00:00,0,1,0,0,-1.69,2024
228,Fulham,a,0.419,0.419,2.043,260,24,214,29,3,7,0,1,0.282,l,2024-08-16 19:00:00,0,1,0,0,-1.624,2024
228,Fulham,h,1.962,1.962,0.857,318,31,274,20,7,1,2,1,2.194,w,2024-08-24 14:00:00,1,0,0,3,1.105,2024
228,Fulham,a,1.189,1.189,0.707,229,21,250,27,4,2,1,1,1.767,d,2024-08-31 14:00:00,0,0,1,1,0.482,2024
228,Fulham,h,2.886,2.886,0.683,164,35,213,31,6,4,1,1,2.701,d,2024-09-14 14:00:00,0,0,1,1,2.203,2024
228,Fulham,h,3.211,3.211,1.098,352,27,149,13,7,3,3,1,2.595,w,2024-09-21 14:00:00,1,0,0,3,2.114,2024
228,Fulham,a,1.436,0.675,0.614,157,19,281,14,4,8,1,0,2.128,w,2024-09-28 14:00:00,1,0,0,3,0.06,2024
228,Fulham,a,2.758,2.758,1.367,310,14,216,15,11,8,2,3,2.289,l,2024-10-05 14:00:00,0,1,0,0,1.392,2024
229,Wolverhampton Wanderers,a,0.576,0.576,1.628,238,22,202,26,2,14,0,2,0.58,l,2024-08-17 14:00:00,0,1,0,0,-1.052,2024
229,Wolverhampton Wanderers,h,2.418,2.418,2.029,303,21,176,25,8,6,2,6,1.689,l,2024-08-25 13:00:00,0,1,0,0,0.389,2024
229,Wolverhampton Wanderers,a,0.938,0.938,1.411,186,29,190,29,4,9,1,1,0.936,d,2024-08-31 14:00:00,0,0,1,1,-0.473,2024
229,Wolverhampton Wanderers,h,1.47,1.47,1.483,249,26,235,19,6,10,1,2,1.342,l,2024-09-15 15:30:00,0,1,0,0,-0.014,2024
229,Wolverhampton Wanderers,a,0.52,0.52,2.374,216,16,236,20,4,9,1,3,0.238,l,2024-09-21 14:00:00,0,1,0,0,-1.853,2024
229,Wolverhampton Wanderers,h,0.749,0.749,1.356,308,22,266,18,2,11,1,2,0.347,l,2024-09-28 16:30:00,0,1,0,0,-0.607,2024
229,Wolverhampton Wanderers,a,0.696,0.696,3.374,179,20,213,18,10,9,3,5,0.055,l,2024-10-05 14:00:00,0,1,0,0,-2.678,2024
244,Brentford,h,1.381,1.381,1.148,228,18,224,29,1,4,2,1,1.588,w,2024-08-18 13:00:00,1,0,0,3,0.233,2024
244,Brentford,a,0.457,0.457,2.719,324,10,233,23,2,21,0,2,0.154,l,2024-08-25 15:30:00,0,1,0,0,-2.262,2024
244,Brentford,h,3.863,3.863,1.647,306,21,189,23,15,14,3,1,2.607,w,2024-08-31 14:00:00,1,0,0,3,2.216,2024
244,Brentford,a,1.051,1.051,1.553,194,8,311,19,6,22,1,2,0.999,l,2024-09-14 14:00:00,0,1,0,0,-0.502,2024
244,Brentford,a,0.894,0.894,3.895,173,19,294,32,5,17,1,3,0.088,l,2024-09-21 14:00:00,0,1,0,0,-3.001,2024
244,Brentford,h,0.37,0.37,0.879,181,18,277,10,7,12,1,1,0.844,d,2024-09-28 14:00:00,0,0,1,1,-0.508,2024
244,Brentford,h,4.135,3.374,0.696,213,18,179,20,9,10,5,3,2.915,w,2024-10-05 14:00:00,1,0,0,3,2.678,2024
249,Nottingham Forest,h,1.244,1.244,1.909,225,26,219,22,10,4,1,1,0.852,d,2024-08-17 14:00:00,0,0,1,1,-0.665,2024
249,Nottingham Forest,a,2.865,2.865,0.215,425,23,171,21,9,4,1,0,2.881,w,2024-08-24 14:00:00,1,0,0,3,2.65,2024
249,Nottingham Forest,h,1.411,1.411,0.938,190,29,186,29,9,4,1,1,1.741,d,2024-08-31 14:00:00,0,0,1,1,0.473,2024
249,Nottingham Forest,a,0.59,0.59,1.17,307,18,112,30,4,6,1,0,0.785,w,2024-09-14 14:00:00,1,0,0,3,-0.581,2024
249,Nottingham Forest,a,1.369,0.608,1.568,273,12,122,23,3,4,2,2,1.214,d,2024-09-22 13:00:00,0,0,1,1,-0.96,2024
249,Nottingham Forest,h,0.614,0.614,0.675,281,14,157,19,8,4,0,1,0.613,l,2024-09-28 14:00:00,0,1,0,0,-0.06,2024
285,Ipswich,h,0.343,0.343,3.929,338,18,201,23,2,13,0,2,0.026,l,2024-08-17 11:30:00,0,1,0,0,-3.586,2024
285,Ipswich,a,0.48,0.48,2.317,296,17,163,20,1,15,1,4,0.069,l,2024-08-24 14:00:00,0,1,0,0,-1.837,2024
285,Ipswich,h,0.707,0.707,1.189,250,27,229,21,2,4,1,1,0.922,d,2024-08-31 14:00:00,0,0,1,1,-0.482,2024
285,Ipswich,a,0.721,0.721,1.757,324,22,146,38,1,12,0,0,0.519,d,2024-09-14 14:00:00,0,0,1,1,-1.036,2024
285,Ipswich,a,1.645,1.645,2.898,314,34,220,25,5,7,1,1,0.559,d,2024-09-21 14:00:00,0,0,1,1,-1.253,2024
285,Ipswich,h,1.846,1.846,1.145,265,16,262,22,6,5,2,2,1.924,d,2024-09-29 13:00:00,0,0,1,1,0.701,2024
285,Ipswich,a,1.185,1.185,4.394,337,23,244,15,6,6,1,4,0.072,l,2024-10-05 14:00:00,0,1,0,0,-3.209,2024
